GaugeID,Stream Order,Maximal Flow Length,Downvalley Length,Drainage Area,Catchment Relief,Catchment Length,Catchment Perimeter,Sinuosity Index,Form Factor,Relief Ratio,Elongation Ratio,Circularity Ratio,Lemniscates Value,Drainage Texture,Drainage Density,Compactness Coefficient,Wandering Ratio,Fitness Ratio,Basin Magnitude,Channel Frequency,Drainage Intensity,Infiltration Number,Ruggedness Number,No. of Firstorder Streams,No. of Secondorder Streams,No. of Thirdorder Streams,No. of Fourthorder Streams,No. of Fifthorder Streams,No. of Sixthorder Streams,No. of Seventhorder Streams,No. of Eigthorder Streams,Firstorder Streams Length,Secondorder Streams Length,Thirdorder Streams Length,Fourthorder Streams Length,Fifthorder Streams Length,Sixthorder Streams Length,Seventhorder Streams Length,Eighthorder Streams Length,Firstorder Streams  Mean  Length,Secondorder Streams  Mean Length,Thirdorder Streams Mean Length,Fourthorder Streams Mean Length,Fifthorder Streams Mean Length,Sixthorder Streams Mean Length,Seventhorder Streams Mean Length,Eighthorder Streams Mean Length,FirstSecond Stream Length Ratio,SecondThird Stream Length Ratio,ThirdForth Stream Length Ratio,FourthFifth Stream Length Ratio,FifthSixth Stream Length Ratio,SixthSeventh Stream Length Ratio,SeventhEighth Stream Length Ratio,FirstSecond Bifurcation Ratio,SecondThird Bifurcation Ratio,ThirdForth Bifurcation Ratio,FourthFifth Bifurcation Ratio,FifthSixth Bifurcation Ratio,Sixthseventh Bifurcation Ratio,SeventhEighth Bifurcation Ratio,Annual Mean Temperature,Mean Diurnal Range,Isothermality,Temperature Seasonality,Max Temperature of Warmest Month,Min Temperature of Coldest Month,Temperature Annual Range,Mean Temperature of Wettest Quarter,Mean Temperature of Driest Quarter,Mean Temperature of Warmest Quarter,Mean Temperature of Coldest Quarter,Annual Precipitation,Precipitation of Wettest Month,Precipitation of Driest Month,Precipitation Seasonality,Precipitation of Wettest Quarter,Precipitation of Driest Quarter,Precipitation of Warmest Quarter,Precipitation of Coldest Quarter,KoppenGeiger Climate Type,2015_GDP_PPP,2010_GDP_PPP,2005_GDP_PPP,2000_GDP_PPP,1995_GDP_PPP,1990_GDP_PPP,2010_GDP_PC_PPP,2015_GDP_PC_PPP,2005_GDP_PC_PPP,2000_GDP_PC_PPP,1995_GDP_PC_PPP,1990_GDP_PC_PPP,Night Light,Road Density,Urban percentage,2010_HDI,2015_HDI,2005_HDI,2000_HDI,1995_HDI,1990_HDI,Population Count,Population Density,Land cover,Soil type,lithology type
INDOFLOODS-gauge-1013,4,141541.1719,113605.7734,3542.106445,4416,116870.2188,315248.2813,1.245897651,0.25933069,0.037785504,5.10E-10,0.44788447,3.856080532,0.000161777,0.000192187,1.504849792,1.211097002,0.448983163,36,1.44E-08,7.49E-05,2.77E-12,0.84869951,36,10,4,1,,,,,341966.1563,145076.8438,156550.6563,37154.51953,,,,,9499.05957,14507.68457,39137.66406,37154.51953,,,,,0.424243271,1.079087853,0.237332255,,,,,3.599999905,2.5,4,,,,,22.249035,8.867685,45.53529,385.878114,29.519833,10.060377,19.459456,26.000927,17.627988,26.001194,16.724932,3464.793753,841.055199,6.798674,105.068004,2202.791185,38.208387,2198.84831,51.489089,Temperate,200538660.1,146530759.4,103152813.2,83021509.12,56862700.9,46763628.17,4724.2936,5922.347933,3428.861833,2855.56936,2196.0379,1912.648693,1.773154,197.111111,36.63181479,0.605699722,0.648626404,0.567890164,0.531529431,0.500728613,0.472248031,1656813,465.074596,No dominant class,Cambisols,Unconsolidated sediments
INDOFLOODS-gauge-1018,5,277715.5938,183743.9063,9908.03418,7735,201079.8125,607907.0625,1.511427522,0.245047659,0.038467314,1.77E-10,0.336917043,4.08083868,0.000291163,0.000157491,1.735060692,1.381121159,0.456838906,136,1.79E-08,0.000113431,2.81E-12,1.218192577,136,29,9,2,1,,,,794714.75,330012.4688,179696.25,147985.1094,108017.25,,,,5843.490723,11379.74023,19966.25,73992.55469,108017.25,,,,0.415259033,0.544513524,0.823529184,0.729919732,,,,4.689655304,3.222222328,4.5,2,,,,10.737141,9.844835,44.156808,475.236736,19.904984,-2.497641,22.402625,15.902504,5.55956,15.960726,4.412366,1899.769728,463.423179,5.413895,99.253408,1191.166045,32.199604,1190.20729,44.422266,Temperate,104349547.4,75502738.16,46688869.58,35194905.03,24357986.95,19339256.24,6188.029926,8053.367258,3598.23865,2681.189701,2176.462759,1906.962715,1.45795,180.664062,15.25513585,0.593690884,0.63833135,0.548809105,0.505907476,0.471119649,0.438264838,2462084,247.254769,No dominant class,No dominant class,Metamorphics
INDOFLOODS-gauge-1020,5,463678.7188,330162.8125,21904.48242,1204,341410.3438,1098149.25,1.40439415,0.18792288,0.003526548,7.02E-11,0.228254899,5.321331978,0.000363339,0.000161826,2.107978106,1.358127356,0.422236532,315,1.82E-08,0.000112562,2.95E-12,0.1948383,315,67,13,3,1,,,,1756620.375,817386.5,396399.9375,274903.0313,299401.1875,,,,5576.572754,12199.79883,30492.30273,91634.34375,299401.1875,,,,0.465317667,0.484960228,0.693499207,1.08911562,,,,4.70149231,5.153846264,4.333333492,3,,,,25.324364,11.317986,40.461182,493.632095,38.792319,10.797642,27.994677,27.586145,18.959131,31.029907,18.706263,1213.55461,306.451879,3.037624,115.792655,829.954574,26.053865,236.935106,34.614645,Tropical,193803869.7,139464558.5,95072538.82,76975155.1,55169759.77,46898096.51,2346.516734,3052.095218,1713.25437,1511.417903,1239.699602,1215.136213,7.762763,433.032258,42.26073014,0.508558694,0.547139028,0.469978406,0.433151714,0.403339676,0.375281258,15777280,722.63754,Cropland,Luvisols,Metamorphics
INDOFLOODS-gauge-1042,4,141541.1719,113605.7734,3542.106445,4416,116870.2188,315248.2813,1.245897651,0.25933069,0.037785504,5.10E-10,0.44788447,3.856080532,0.000161777,0.000192187,1.504849792,1.211097002,0.448983163,36,1.44E-08,7.49E-05,2.77E-12,0.84869951,36,10,4,1,,,,,341966.1563,145076.8438,156550.6563,37154.51953,,,,,9499.05957,14507.68457,39137.66406,37154.51953,,,,,0.424243271,1.079087853,0.237332255,,,,,3.599999905,2.5,4,,,,,22.249035,8.867685,45.53529,385.878114,29.519833,10.060377,19.459456,26.000927,17.627988,26.001194,16.724932,3464.793753,841.055199,6.798674,105.068004,2202.791185,38.208387,2198.84831,51.489089,Temperate,200538660.1,146530759.4,103152813.2,83021509.12,56862700.9,46763628.17,4724.2936,5922.347933,3428.861833,2855.56936,2196.0379,1912.648693,1.773154,197.111111,36.63181479,0.605699722,0.648626404,0.567890164,0.531529431,0.500728613,0.472248031,1656813,465.074596,No dominant class,Cambisols,Unconsolidated sediments
INDOFLOODS-gauge-1050,4,218563.5625,170715.4063,4924.346191,6466,175772.3281,503064.0625,1.280280232,0.15938504,0.036786221,2.87E-10,0.244518578,6.274114609,0.000145111,0.000146708,2.036668062,1.243446946,0.434464663,62,1.48E-08,0.000101047,2.17E-12,0.948611856,62,8,2,1,,,,,331988.2813,167766.2813,81704.40625,140980.4531,,,,,5354.649902,20970.78516,40852.20313,140980.4531,,,,,0.505337954,0.48701328,1.725493908,,,,,7.75,4,2,,,,,8.805729,10.331284,44.223073,490.447112,18.490132,-4.850935,23.341066,14.340247,3.472541,14.346389,2.394417,1375.661661,340.656145,6.527276,97.177864,830.033252,25.630861,803.64266,37.09761,No dominant class,35755989.22,26566602.64,18452608.93,14567951.21,10209156.54,8090743.127,6271.533189,7394.467657,4425.542797,3509.653977,2844.09928,2283.229917,1.024938,130.814286,3.852327448,0.57613076,0.612163543,0.553087337,0.530406634,0.50857868,0.489325294,365795.3664,73.032149,Forest,Luvisols,Metamorphics
INDOFLOODS-gauge-1056,5,291041.0938,205205.5625,19162.85352,557,209606.8906,710930.25,1.418290496,0.436163247,0.002657355,1.22E-10,0.476448596,2.292719603,0.00039385,0.00016395,1.459043145,1.388509154,0.409380645,220,1.46E-08,8.91E-05,2.40E-12,0.091319874,220,43,12,4,1,,,,1420586.25,756499.5625,426683.9688,486951.25,51019.36328,,,,6457.210449,17593.01367,35556.99609,121737.8125,51019.36328,,,,0.532526314,0.564024091,1.141245723,0.104773045,,,,5.116279125,3.583333254,3,4,,,,25.907135,11.496072,42.739645,462.229225,37.809083,10.905593,26.90349,28.756363,19.729201,30.640983,19.38022,1326.954101,334.074126,2.542017,110.528196,860.792341,29.414267,306.612585,32.01933,Tropical,277972901.7,201022334.9,139999525.2,112995292.4,78236432.59,65502953.69,2899.980282,3771.980678,2144.065498,1872.185794,1468.111476,1396.421821,3.422081,304.813765,42.01283588,0.545916527,0.58733092,0.504502209,0.464970294,0.432968304,0.402848767,13108320,683.970965,Cropland,Luvisols,Unconsolidated sediments
INDOFLOODS-gauge-1059,5,243178.9688,156023.8281,9526.455078,7717,172123.1094,535352.3125,1.558601499,0.32155329,0.044834189,2.11E-10,0.417697459,3.109904528,0.00032502,0.000156544,1.558279157,1.412819982,0.454241008,133,1.83E-08,0.000116676,2.86E-12,1.20804894,133,29,9,2,1,,,,760133.625,330012.4688,179696.25,147985.1094,73480.61719,,,,5715.290527,11379.74023,19966.25,73992.55469,73480.61719,,,,0.434150606,0.544513524,0.823529184,0.496540606,,,,4.586206913,3.222222328,4.5,2,,,,10.186455,9.852786,44.096173,478.200747,19.419089,-3.034606,22.453695,15.414579,5.001378,15.475056,3.843966,1852.812347,452.249229,5.507075,98.816055,1159.178721,32.481385,1158.182831,45.07699,Temperate,82649816.39,59812906.51,35377707.51,26007275.52,18185478.28,14226821.38,6296.214466,8194.310566,3628.093674,2686.088637,2189.211084,1914.540017,1.345236,168.959016,13.78028634,0.59238754,0.636909548,0.547612346,0.504809514,0.470098815,0.437311022,2075920,216.218417,No dominant class,No dominant class,Metamorphics
INDOFLOODS-gauge-1074,4,128750.3203,93831.17188,3812.43042,388,97127.25,292216.0938,1.372148752,0.40412873,0.00399476,5.91E-10,0.561052561,2.474458933,0.00020875,0.000176344,1.344542146,1.325583935,0.44059968,46,1.60E-08,9.07E-05,2.82E-12,0.068421356,46,10,4,1,,,,,365325.4688,146833.8438,95021.86719,65116.89453,,,,,7941.85791,14683.38477,23755.4668,65116.89453,,,,,0.4019261,0.647138715,0.685283244,,,,,4.599999905,2.5,4,,,,,25.974986,11.41579,43.078848,452.340845,37.497745,10.998354,26.49939,28.994853,19.703153,30.430377,19.501568,1384.286469,367.110321,1.949614,112.672819,907.669037,30.629622,312.207436,30.761885,Tropical,337789597.3,244304648.3,170886770.5,137467243,93754148.62,77687018.03,3256.200834,4235.313804,2421.344423,2104.383447,1615.122068,1513.100977,2.273639,262.808511,42.14613484,0.570413759,0.613686573,0.527141038,0.485835185,0.452397145,0.420926038,2508787,650.127399,Cropland,Luvisols,Unconsolidated sediments
INDOFLOODS-gauge-1076,4,188742.0625,98491.14063,3404.282715,517,116773.4453,398135.2188,1.916335464,0.249653369,0.004427376,5.20E-10,0.269882232,4.005553722,0.000135632,0.000161885,1.93860364,1.616309762,0.474065214,41,1.59E-08,9.80E-05,2.57E-12,0.083694354,41,10,2,1,,,,,231431.5313,110543.6563,122220.7031,86905.15625,,,,,5644.671387,11054.36523,61110.35156,86905.15625,,,,,0.477651656,1.105632901,0.711051047,,,,,4.099999905,5,2,,,,,25.768391,11.402926,42.526652,463.105893,37.382781,10.572754,26.810027,28.882101,19.506431,30.185678,19.089281,1365.56216,328.663113,1.603448,107.542174,859.184891,30.516788,336.358212,30.833485,Tropical,294243783.8,212817658,148136687.5,119661541.5,83093655.3,69724755.49,2788.012205,3626.344726,2056.910537,1799.200884,1421.902763,1359.746956,4.106789,335.581395,44.66135458,0.53857871,0.579436437,0.497721051,0.458720495,0.427148656,0.397433963,3094205,921.519148,Cropland,No dominant class,Unconsolidated sediments
INDOFLOODS-gauge-1084,2,12694.66699,9315.62207,146.5135803,4,13451.95508,52609.97266,1.362728834,0.809668183,0.000297355,2.18E-08,0.665198982,1.235073924,7.60E-05,0.000135348,1.23481071,0.943704247,0.241297737,3,2.73E-08,0.000201711,3.70E-12,0.000541393,3,1,,,,,,,13576.10645,6254.24707,,,,,,,4525.368652,6254.24707,,,,,,,0.460680455,,,,,,,3,,,,,,,26.192595,11.126295,43.037712,435.747574,36.939379,11.087047,25.852332,29.356649,19.879793,30.278756,19.879793,1445,307.720207,2.19171,97.947514,838.233161,29.533679,449.813472,29.533679,Tropical,370258070,267685325,187642190,150485080,101525480,83465095,3988.2776,5187.52,2991.1865,2581.578,1917.2468,1752.8909,4.600837,339.5,63.39285714,0.6201922,0.66724133,0.5731432,0.5282327,0.4918766,0.4576591,268150.9716,1772.733903,Cropland,Fluvisols,No dominant class
