EventID,Start Date,End Date,Peak Flood Level (m),Peak FL Date,Num Peak FL,Peak Discharge Q (cumec),Peak Discharge Date,Flood Volume (cumec),Event Duration (days),Time to Peak (days),Recession Time (day),Flood Type
INDOFLOODS-gauge-1010-1,2010-07-21,2010-07-21,47.95,2010-07-21,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1010-2,2016-07-23,2016-07-23,48.05,2016-07-23,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1010-3,2016-07-26,2016-07-26,48.0,2016-07-26,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1010-4,2017-08-11,2017-08-13,48.95,2017-08-12,1,,,,3,2,2,Severe Flood
INDOFLOODS-gauge-1012-1,2010-07-21,2010-07-21,48.1,2010-07-21,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1013-1,2013-06-11,2013-06-11,47.73,2013-06-11,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1013-2,2015-08-31,2015-09-01,48.09,2015-08-31,1,,,,2,1,2,Flood
INDOFLOODS-gauge-1013-3,2016-07-23,2016-07-26,48.02,2016-07-24,1,,,,4,2,3,Flood
INDOFLOODS-gauge-1013-4,2017-08-11,2017-08-13,48.88,2017-08-13,1,,,,3,3,1,Severe Flood
INDOFLOODS-gauge-1013-5,2020-07-03,2020-07-03,47.76,2020-07-03,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1013-6,2020-07-12,2020-07-13,48.16,2020-07-12,1,,,,2,1,2,Flood
INDOFLOODS-gauge-1013-7,2020-07-21,2020-07-22,48.32,2020-07-22,1,,,,2,2,1,Severe Flood
INDOFLOODS-gauge-1013-8,2020-09-15,2020-09-15,47.94,2020-09-15,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1013-9,2020-09-24,2020-09-24,48.0,2020-09-24,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1018-1,2017-07-01,2017-07-02,65.47,2017-07-01,2,,,,2,1,2,Flood
INDOFLOODS-gauge-1018-2,2017-07-10,2017-07-12,65.68,2017-07-10,1,,,,3,1,3,Flood
INDOFLOODS-gauge-1018-3,2017-08-10,2017-08-13,65.85,2017-08-13,1,,,,4,4,1,Flood
INDOFLOODS-gauge-1018-4,2018-06-24,2018-06-24,65.62,2018-06-24,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1018-5,2018-07-01,2018-07-05,65.93,2018-07-05,1,,,,5,5,1,Flood
INDOFLOODS-gauge-1018-6,2018-08-01,2018-08-08,65.79,2018-08-02,1,,,,8,2,7,Flood
INDOFLOODS-gauge-1018-7,2020-07-13,2020-07-13,65.5,2020-07-13,1,,,,1,1,1,Flood
INDOFLOODS-gauge-1018-8,2020-07-21,2020-07-21,65.5,2020-07-21,1,,,,1,1,1,Flood
