EventID,T1d,T2d,T3d,T4d,T5d,T6d,T7d,T8d,T9d,T10d
INDOFLOODS-gauge-1010-1,32.83327449,65.22889942,99.41348147,124.2726759,133.3445573,138.1433667,140.4587974,155.22832340000005,177.3720622,203.6869495
INDOFLOODS-gauge-1010-2,27.01128603,60.14758514,86.52843812,111.7534113,136.08352150000002,158.51641750000005,197.4763609,216.3015467,243.3078296,247.079665
INDOFLOODS-gauge-1010-3,50.4133118,82.46674257,124.8593757,151.8706617,185.0069608,211.38781380000003,236.612787,260.9428972,283.3757932,322.3357366
INDOFLOODS-gauge-1010-4,46.28230596,86.76568132,104.8491579,115.4811159,125.93465829999998,130.9593626,134.25118419999998,148.82904319999997,167.93643280000003,182.4154934
INDOFLOODS-gauge-1012-1,86.018135,137.676182,176.841432,203.447235,215.046211,225.184558,239.477965,284.881663,411.163733,522.828973
INDOFLOODS-gauge-1013-1,5.026474997,26.38098902,57.49718392,70.41268888,97.77921354,117.0857394,137.7834573,158.6112335,160.29481280000005,162.35022450000002
INDOFLOODS-gauge-1013-2,122.347498,158.0931964,180.9545411,207.9519781,226.2431748,245.5794045,255.3496778,274.0695042,331.96570739999987,399.731288
INDOFLOODS-gauge-1013-3,67.26941339,164.654804,263.8704446,297.9483637,352.0417183,398.5366998,484.91474510000006,509.9551645,539.1385057,549.2736472
INDOFLOODS-gauge-1013-4,89.71579464,169.8462375,226.4044622,256.5198649,283.8061203000001,300.0978771,312.5373101,334.9596944,379.94669460000006,414.9597666
INDOFLOODS-gauge-1013-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INDOFLOODS-gauge-1013-6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INDOFLOODS-gauge-1013-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INDOFLOODS-gauge-1013-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INDOFLOODS-gauge-1013-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INDOFLOODS-gauge-1018-1,28.43763589,44.08452228,55.35493608,66.39465308,83.676156,100.0039543,114.75471,130.2593482,172.4366662,194.2909142
INDOFLOODS-gauge-1018-2,57.08823368,81.90853875,95.36496472,109.5259218,119.3257581,140.1352373,153.13876489999996,164.8864472,195.8928457,224.3304816
INDOFLOODS-gauge-1018-3,63.35900018,100.3516502,119.397418,133.1854532,151.4718005,173.6168385,205.9824388,238.11398230000003,267.10527030000003,281.3423894
INDOFLOODS-gauge-1018-4,34.05058419,47.39281168,63.98220347,77.64845189,89.12229049,102.0784822,112.4654142,130.89656029999998,147.7536864,169.5546128
INDOFLOODS-gauge-1018-5,68.71798759,85.81421178,100.4826038,123.8803914,154.8962533,187.9666211,210.1875813,244.2381655,257.580393,274.1697848
INDOFLOODS-gauge-1018-6,36.15809653,80.07879622,97.12868141,108.0510588,116.97334209999998,129.9511336,147.67443559999995,179.87668080000003,190.8058597,202.8435306
INDOFLOODS-gauge-1018-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INDOFLOODS-gauge-1018-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INDOFLOODS-gauge-1018-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INDOFLOODS-gauge-1018-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INDOFLOODS-gauge-1020-1,0.105198828,0.16943864,0.409966914,1.02896486,3.204547348,17.71716536,20.85392073,22.54203294,23.79901508,28.87790079
